པ,4479506
། །,3262619
། ,3140260
དང,2195540
བ,1947175
ལ,1842635
པར,1789767
དེ,1642704
ནི,1567650
པའི,1507811
མ,1059517
ན,938356
བྱ,926834
དུ,916229
ཞེས,885220
ཀྱི,853274
ཡིན,792623
དག,725434
ཉིད,709643
ཡང,691064
པོ,671817
བར,665341
བའི,634057
མི,611090
ཏེ,585229
མེད,569581
ནས,556423
ལས,548527
སུ,513794
སེམས,490881
ཕྱིར,477766
བཞིན,470009
ཏུ,469611
པས,457317
བྱེད,450681
ཤེས,443035
འདི,433097
གང,415601
གྱི,414507
སྟེ,414299
འགྱུར,412376
སོགས,381636
གི,374339
སོ,352474
ལྡན,348035
ཀྱིས,325370
ཅད,321230
ཐམས,320630
ཆོས,312667
གནས,302852
ལྟར,295784
རོ,294832
ཅན,290492
རབ,280838
བདག,270202
བུ,269998
པའོ,263313
ནོ,262063
ཆེན,258477
ཀྱང,250735
དོན,245793
ལྟ,245699
རང,235136
གཞན,230750
བྱང,228094
གྱིས,226507
དོ,220674
གྱུར,219327
བྱས,210948
ཆུབ,210935
བྱའོ,210710
འདས,208342
གིས,202627
རྒྱས,199943
དགེ,199515
གཉིས,198914
བསྟན,185631
རྡོ,182374
ཇི,182131
རྗེ,178618
འཁོར,177475
ཀུན,175493
བཅོམ,175322
ཡོངས,171197
ཡོད,170286
བས,167279
དཔའ,164495
ངོ,160470
སངས,158326
དབང,156441
མོ,156241
ཡི,155216
གསུམ,154294
བོ,154042
མཚན,151145
འདོད,147923
ཞིང,144519
གཅིག,143315
ཅེས,142846
སྟོང,142057
རོལ,139302
མངོན,138950
སྐྱེ,138284
རྒྱལ,135658
འཛིན,134563
སྤྱོད,132329
ས,130192
རྟེན,126193
གསུངས,124381
དངོས,124333
བརྗོད,123470
ཚེ,122273
ཅིག,121803
ཞིག,120643
ཞེ,120608
གཤེགས,120076
ཕྱག,119974
མཐོང,117389
ཕ,116853
འཇིག,116383
ལུས,115949
ཅིང,115819
གཟུགས,114929
ཚོགས,114901
ཏོ,114529
རིགས,113902
ཕྱིན,112797
རྗེས,111721
